id,price_prediction
23285,30115959.823
23286,8181382.1694
23287,6118996.917
23288,9494063.981
23289,5492168.148333333
23290,6821381.491
23291,7485524.459333333
23292,8528382.185
23293,6895583.613399999
23294,4827192.8
23295,6149873.052666667
23296,6773773.582499999
23297,6242321.240571429
23298,7921421.519666667
23299,7228094.14
23300,7810775.018
23301,8686851.28
23302,3579186.639
23303,5184133.673
23304,17759427.18
23305,5258761.901
23306,5175864.92
23307,6256893.423571427
23308,12557626.614
23309,6033102.594333334
23310,6935573.162
23311,5902624.995
23312,7689255.467
23313,5626915.198
23314,6548464.572
23315,8034512.013
23316,7281541.804
23317,9703332.464666666
23318,9345247.847
23319,9425114.283
23320,10189722.81
23321,10449884.268
23322,9378287.883
23323,11541210.622
23324,10548514.829
23325,12741130.205
23326,14548561.468
23327,13640670.193
23328,18077257.021
23329,11678727.782616667
23330,6321029.638571429
23331,7526460.659
23332,12630122.834833333
23333,4021046.79
23334,4496482.696
23335,3893601.008
23336,4801489.322333333
23337,4656255.135
23338,4797448.053333333
23339,4166415.109
23340,3710519.116
23341,4510281.657
23342,3964983.934
23343,4198731.967
23344,7876560.307666667
23345,4269318.502
23346,4670184.817833333
23347,4299046.023
23348,4735454.274
23349,4189203.391
23350,4775507.677
23351,5830693.710333334
23352,5473712.373
23353,5072791.486
23354,5722321.89
23355,5235734.985
23356,6048354.839
23357,137181498.37293333
23358,5792152.8546
23359,4455325.011
23360,5537575.173166669
23361,6389233.357
23362,5209160.851
23363,6016810.769
23364,5535548.571833334
23365,5912405.913333333
23366,5890528.094404763
23367,5678492.049666667
23368,6691697.077333333
23369,5672491.346
23370,6049283.751904762
23371,5962949.432904762
23372,6336052.120666666
23373,6161677.4604404755
23374,6768465.450666667
23375,12483814.168333335
23376,6060806.514571428
23377,5708356.398333334
23378,6163479.375
23379,5982841.107214286
23380,6095254.895
23381,6185616.254
23382,5934961.989
23383,6033211.495
23384,25634781.252
23385,6102347.867
23386,6286830.903
23387,5653156.528666666
23388,7370525.85
23389,6806787.621
23390,7397047.294
23391,6670060.899
23392,7268639.824
23393,8058017.937
23394,7065025.149333333
23395,5902202.433666667
23396,6855548.787933334
23397,7260022.392
23398,6814839.012
23399,6712436.930833333
23400,6475289.404
23401,7122735.189
23402,6721092.85
23403,5994633.375714286
23404,7611119.172
23405,5844444.566666666
23406,7387278.190119047
23407,7611119.172
23408,7224123.535142858
23409,7493571.385
23410,7177003.676333334
23411,8290754.097
23412,8443812.391
23413,7374206.327333334
23414,7824585.68
23415,7412873.622
23416,37552139.339
23417,7917168.571666666
23418,7414641.643809523
23419,7897113.081
23420,9692904.385
23421,8606975.181666669
23422,7119175.470033332
23423,9579301.051666666
23424,7729857.281
23425,8269138.945
23426,7367700.528809523
23427,10552105.113
23428,7733508.789
23429,10006952.126
23430,7967729.701
23431,10781000.987
23432,8667193.889
23433,8693814.876
23434,8634829.752
23435,10233245.719
23436,8430539.458
23437,8524826.913
23438,9439350.7135
23439,9897466.913333334
23440,8928047.564
23441,11013873.2506
23442,7625096.295
23443,8613468.755
23444,9911244.532333333
23445,9293602.656
23446,8253009.4445
23447,8850023.758
23448,10210346.616416667
23449,8677690.793
23450,9591770.48
23451,12517700.812000003
23452,11457733.625166668
23453,11501110.475166667
23454,9473097.16
23455,9838977.003
23456,10753711.315966668
23457,10411597.007
23458,10075620.959
23459,9436821.831333332
23460,9740802.157
23461,11701568.19725
23462,10857826.091
23463,9251276.388
23464,9631424.045
23465,9189467.390666667
23466,9948725.14
23467,12658355.8126
23468,9992460.176
23469,33790583.374
23470,43377286.998
23471,38448160.663
23472,44378518.007
23473,15385737.055
23474,16679427.055857144
23475,25894674.657
23476,11166835.346
23477,8374501.593
23478,25544431.372
23479,15995181.539
23480,30948617.498666666
23481,30081040.008
23482,14684017.041333335
23483,29646476.678666666
23484,94769071.517
23485,12367123.7475
23486,25589760.04933333
23487,26575028.412
23488,44508291.24866667
23489,10475281.51
23490,12637813.755833333
23491,45922832.459
23492,52798661.001
23493,52798661.001
23494,29484357.639
23495,62254271.65268333
23496,34541212.77333333
23497,11439519.780333335
23498,39376674.462
23499,7862862.976
23500,8013990.873
23501,10043676.878
23502,9612841.017
23503,13459551.600333335
23504,10151229.799
23505,10947760.836333334
23506,12063507.996
23507,12386064.299333334
23508,16273488.250666669
23509,17831683.489
23510,17443182.096
23511,14179101.138666667
23512,17675357.49
23513,15274686.529333334
23514,13089093.218583332
23515,19409139.708
23516,21485929.229
23517,17082352.19
23518,18856946.843833335
23519,27507390.769
23520,37906334.072
23521,39258865.916
23522,38498391.673
23523,33261285.10475
23524,31956243.46666667
23525,62158505.556
23526,70793719.237
23527,98572377.424
23528,15246054.451
23529,9261526.951333335
23530,8551549.73
23531,13248674.403166667
23532,13586068.985
23533,55472661.393
23534,6475641.955833334
23535,6696004.507333332
23536,6959360.459666667
23537,9255334.343666667
23538,7541348.867333334
23539,10228652.746
23540,9039019.665333334
23541,9128256.414666666
23542,10135642.131499998
23543,10399264.702666668
23544,10002460.459
23545,11215744.297
23546,11022785.102183333
23547,12396101.726142857
23548,15454573.538
23549,14843792.163
23550,12895078.530500002
23551,16076242.194
23552,10242631.441
23553,12937385.250500001
23554,11742137.085
23555,15016832.261666667
23556,10382135.531
23557,17173027.236666664
23558,9583047.647
23559,16484843.896
23560,15927968.965333333
23561,18029691.696
23562,18546763.9
23563,20717741.19
23564,11502054.689666666
23565,13666807.109142857
23566,10578613.105666667
23567,14728868.703833332
23568,15183202.522166668
23569,23270835.427
23570,23305644.543
23571,18440237.470666666
23572,16620592.873714287
23573,18059096.975
23574,24129461.256
23575,18148015.731
23576,26368844.084
23577,26850756.701
23578,27972077.183333334
23579,23945217.439
23580,27413372.55733333
23581,17160520.395
23582,26736591.844
23583,18733425.812714286
23584,17465641.847714286
23585,16957713.883857142
23586,17920557.802333336
23587,45506444.291
23588,16308956.011333333
23589,21755453.097333334
23590,21428977.854
23591,20594811.588
23592,21364606.898
23593,17958100.502333336
23594,28583002.934952382
23595,20730190.392
23596,26553616.76
23597,21031113.38
23598,21460246.675
23599,21914714.144333337
23600,26650036.525
23601,23684326.364666667
23602,24376094.37785715
23603,17978659.213666663
23604,30528345.933666665
23605,24485594.63
23606,24540104.076
23607,24807024.337
23608,25598863.307666667
23609,18448288.577
23610,33700619.959
23611,20803139.235
23612,25831072.34
23613,26687058.414666668
23614,34379936.269333325
23615,25934951.964666665
23616,49890420.138
23617,27214731.272
23618,19291444.716
23619,36437214.84
23620,66482609.7125
23621,33623412.05966667
23622,38880225.965
23623,35922197.032
23624,63846498.6975
23625,80881805.108
23626,63654197.89402381
23627,38324623.757
23628,40831849.47166667
23629,106127989.945
23630,57655200.842
23631,82838447.879
23632,15513256.852
23633,18787379.774
23634,84387520.996
23635,8227940.315
23636,14593932.608
23637,19880013.318666663
23638,22685051.715666667
23639,43239600.167
23640,9402477.792333333
23641,11155376.48447619
23642,9019504.817
23643,11969457.668333333
23644,10694386.188
23645,14762332.796
23646,20500500.104
23647,50105089.377
23648,49761601.531
23649,84504833.643
23650,85477264.9135
23651,7924498.825
23652,6947246.293
23653,6774953.076666667
23654,10058412.886
23655,7579364.307
23656,7677529.299
23657,8654715.931950001
23658,7461791.134571428
23659,6555969.006
23660,7330171.383
23661,7567742.264
23662,7211344.213333333
23663,7267799.851
23664,7619189.924714286
23665,8426990.386785714
23666,7211344.213333333
23667,6985572.758
23668,8714372.584857143
23669,7618728.259
23670,7790998.0309999995
23671,7919333.556
23672,7820149.157450001
23673,8376592.38685
23674,7919333.556
23675,9863366.484
23676,8192800.509666666
23677,7358050.76
23678,7882528.042857142
23679,7969294.21375
23680,7421272.823
23681,12134920.719
23682,8404938.366142856
23683,9221969.13
23684,7365137.137
23685,7501757.383028572
23686,8214462.102
23687,8455905.947
23688,10137591.8255
23689,8986263.314
23690,7186505.101
23691,8688897.495333333
23692,8393732.566666666
23693,8783261.575066665
23694,8449648.97
23695,7522422.377333333
23696,7452418.516
23697,9053305.295
23698,8216684.22
23699,9396536.6282
23700,8273833.237428571
23701,8562093.89
23702,9014250.889
23703,8992774.224666668
23704,11431519.374
23705,8947448.228
23706,8624589.566666666
23707,7871356.04957143
23708,8821659.32125
23709,8190382.544
23710,11945548.736666666
23711,9053911.963333335
23712,9408836.165666666
23713,9234257.944333332
23714,10719022.017666668
23715,6262292.000333333
23716,49768964.843
23717,39936559.281
23718,23895070.837333333
23719,37085556.522
23720,9709072.68
23721,22588138.515
23722,23651421.549666665
23723,32347992.6365
23724,72576473.53890261
23725,41938798.008
23726,18434778.320333336
23727,25426673.304
23728,36401953.647
23729,2994985.08
23730,9041112.1635
23731,7626948.583
23732,9087484.89
23733,8647019.691666668
23734,13114510.31875
23735,13688015.1418
23736,13091238.638952382
23737,17634087.514666665
23738,16487767.333428571
23739,7031765.691083333
23740,5886154.145
23741,8675008.49
23742,9114981.966666667
23743,9190271.492
23744,8754803.685
23745,9267011.833
23746,10298275.4812
23747,41403623.59733333
23748,12819472.206
23749,12249447.469
23750,16341558.587
23751,18237249.118333332
23752,13212783.5875
23753,15304087.929
23754,15230532.048
23755,21755737.352333337
23756,15365975.18
23757,18739766.456
23758,15786670.814666666
23759,15010391.365833335
23760,15509000.115333334
23761,19825442.64533333
23762,18398731.382
23763,20579010.641
23764,27520655.002666667
23765,27543096.682666667
23766,20824924.595
23767,25414057.892833337
23768,20701870.471
23769,21730011.146
23770,21477645.38
23771,24243256.182
23772,22413632.037666667
23773,24385685.127
23774,23896426.27933333
23775,29983307.865000002
23776,27967593.9228
23777,24257113.286
23778,29222000.67733333
23779,27712412.13966667
23780,26356776.16366667
23781,33859110.85383333
23782,35254547.137333326
23783,26943982.708
23784,46751377.05766667
23785,62142219.336
23786,46231803.696
23787,102258409.19011904
23788,90174094.06383333
23789,32315049.627726186
23790,155869366.0773333
23791,18074913.086
23792,10664487.5045
23793,7335130.818666667
23794,6835331.421
23795,7875432.84
23796,7883945.7963333335
23797,9091367.76775
23798,10970296.55475
23799,70681799.085
23800,5051233.08
23801,6391540.87725
23802,6655934.760666666
23803,6914715.2716666665
23804,7441882.3525
23805,7061395.299
23806,7523068.598333333
23807,8049714.480666667
23808,6498768.105666666
23809,7556304.788
23810,7365253.592
23811,7490791.776333333
23812,8856106.818
23813,7482725.262
23814,8718172.358
23815,10936543.169
23816,8672518.359
23817,10656736.819
23818,9007613.638
23819,9312685.268
23820,8935976.81
23821,10029008.723
23822,9259349.971333332
23823,8601088.202333333
23824,10984920.4355
23825,9969536.74
23826,8845484.777
23827,8878194.3135
23828,10040531.351200001
23829,10669795.799
23830,12489131.309833335
23831,9655303.62
23832,9722743.849666666
23833,8835532.488333333
23834,10288280.274
23835,10183088.081
23836,10399386.633200001
23837,9908911.927
23838,8781851.810333334
23839,9715322.939
23840,11592752.805190476
23841,10601005.208
23842,9862645.845
23843,10606708.815
23844,9874749.425
23845,16665677.276
23846,15783429.268
23847,17068611.237
23848,12453625.88
23849,9497626.858533332
23850,28982466.243
23851,9988265.773866668
23852,9710509.847800002
23853,14589959.431583334
23854,9734489.336066667
23855,13966771.893333333
23856,17168915.118
23857,15867178.694
23858,14940424.713
23859,13227774.443
23860,15585172.728128787
23861,13214772.995333333
23862,18390972.443
23863,12703592.481333336
23864,14376635.333
23865,16108249.119
23866,14085141.303333335
23867,14614778.6965
23868,36357632.572
23869,18764238.901
23870,13256842.50475
23871,12494169.439666666
23872,12300213.344666665
23873,15758746.488
23874,13386987.925
23875,16038374.640333332
23876,17521541.494
23877,13389698.903
23878,13720394.683666665
23879,25682240.60666667
23880,17040330.798666667
23881,17332633.393
23882,25437532.97066667
23883,14215503.457833335
23884,19142988.734
